Date,Timestamp,Open,High,Low,Close,Volume
2020-11-26,00:00:00,1.19157,1.19409,1.18852,1.19127,309694.908281125
2020-11-27,00:00:00,1.19125,1.19641,1.19068,1.1962,297590.697024206
2020-11-30,00:00:00,1.19614,1.20032,1.19236,1.19256,426261.200021535
2020-12-01,00:00:00,1.1926,1.20765,1.19249,1.20692,332544.315106861
2020-12-02,00:00:00,1.20691,1.21183,1.20399,1.21132,354781.887388058
2020-12-03,00:00:00,1.21151,1.21746,1.2101,1.21454,370868.660143798
2020-12-04,00:00:00,1.21454,1.21773,1.21101,1.21202,424588.365889922
2020-12-07,00:00:00,1.21308,1.21662,1.20784,1.21091,406139.779264303
2020-12-08,00:00:00,1.21091,1.21339,1.20953,1.21022,341450.033056617
2020-12-09,00:00:00,1.21022,1.21475,1.20587,1.20799,241128.236109819
2020-12-10,00:00:00,1.20779,1.21588,1.20748,1.21398,236319.6032774
2020-12-11,00:00:00,1.2136,1.21629,1.21053,1.21086,195119.534318298
2020-12-14,00:00:00,1.21367,1.21767,1.21155,1.21432,163952.772275213
2020-12-15,00:00:00,1.21432,1.21689,1.2121,1.21505,143355.21805694
2020-12-16,00:00:00,1.21489,1.22121,1.2125,1.21985,172883.590427078
2020-12-17,00:00:00,1.21983,1.22726,1.21898,1.22656,168635.110463536
2020-12-18,00:00:00,1.22676,1.22718,1.22255,1.22559,162035.466627538
2020-12-21,00:00:00,1.2221,1.22529,1.21296,1.22432,234164.970619455
2020-12-22,00:00:00,1.22432,1.2257,1.2152,1.2161,204277.311552932
2020-12-23,00:00:00,1.2161,1.2221,1.21538,1.2185,187712.758021779
2020-12-24,00:00:00,1.21845,1.22156,1.21773,1.21844,149462.719199892
2020-12-25,00:00:00,1.21861,1.22031,1.21709,1.21922,5932.43999799341
2020-12-28,00:00:00,1.2186,1.22502,1.21811,1.2216,140335.287524955
2020-12-29,00:00:00,1.2216,1.2275,1.22073,1.22478,152064.867765822
2020-12-30,00:00:00,1.22455,1.23101,1.22453,1.22952,158740.055313103
2020-12-31,00:00:00,1.22955,1.23092,1.22091,1.22141,164452.633935087
2021-01-04,00:00:00,1.22396,1.23096,1.22296,1.22473,247868.262579593
2021-01-05,00:00:00,1.22463,1.23056,1.22432,1.22957,193572.13432103
2021-01-06,00:00:00,1.22946,1.23494,1.22655,1.23239,270515.94613352
2021-01-07,00:00:00,1.23247,1.23443,1.2245,1.2271,194294.23212409
2021-01-08,00:00:00,1.22713,1.22845,1.21929,1.22174,239793.115587264
2021-01-11,00:00:00,1.22175,1.22284,1.21321,1.21496,199048.21792202
2021-01-12,00:00:00,1.21497,1.22097,1.21371,1.22062,155317.596932538
2021-01-13,00:00:00,1.22064,1.22227,1.21399,1.21568,174070.862349009
2021-01-14,00:00:00,1.21568,1.21784,1.2111,1.2153,194068.261386756
2021-01-15,00:00:00,1.2153,1.21624,1.20747,1.20748,168388.538536694
2021-01-18,00:00:00,1.20838,1.20867,1.20535,1.20749,123648.0976776
2021-01-19,00:00:00,1.20748,1.21448,1.20739,1.21284,173570.845756315
2021-01-20,00:00:00,1.21281,1.21581,1.20767,1.21044,172088.668382995
2021-01-21,00:00:00,1.21044,1.2173,1.21032,1.2164,163963.533214137
2021-01-22,00:00:00,1.21564,1.21894,1.21515,1.21667,142147.33127983
2021-01-25,00:00:00,1.21688,1.21832,1.21158,1.21363,163322.505587118
2021-01-26,00:00:00,1.21363,1.21758,1.21076,1.21597,147933.094911071
2021-01-27,00:00:00,1.21598,1.21696,1.20585,1.21096,199305.84762536
2021-01-28,00:00:00,1.21083,1.21424,1.20807,1.21201,200758.530219339
2021-01-29,00:00:00,1.21199,1.2156,1.20944,1.21298,194330.700836591
2021-02-01,00:00:00,1.21297,1.21363,1.2056,1.20594,169316.560237654
2021-02-02,00:00:00,1.20594,1.20877,1.20115,1.20428,147600.08088991
2021-02-03,00:00:00,1.20423,1.205,1.2004,1.20351,120119.690683663
2021-02-04,00:00:00,1.20349,1.20427,1.19574,1.1962,121808.085557237
2021-02-05,00:00:00,1.19618,1.20498,1.19522,1.20481,125559.885193588
2021-02-08,00:00:00,1.20375,1.2066,1.20196,1.20482,117625.978495218
2021-02-09,00:00:00,1.20479,1.21218,1.20469,1.21172,133697.040826023
2021-02-10,00:00:00,1.21168,1.2144,1.21088,1.21172,130601.925716199
2021-02-11,00:00:00,1.21172,1.21494,1.21134,1.21303,88250.54930453
2021-02-12,00:00:00,1.21303,1.2135,1.20815,1.21177,83077.4304971639
2021-02-15,00:00:00,1.21244,1.21451,1.21167,1.21274,68552.6189082619
2021-02-16,00:00:00,1.21269,1.21693,1.20949,1.21053,118869.935568631
2021-02-17,00:00:00,1.21047,1.2109,1.20232,1.20372,131488.335784122
2021-02-18,00:00:00,1.20333,1.20945,1.2033,1.20908,118387.975428499
2021-02-19,00:00:00,1.20908,1.21444,1.20823,1.21167,120562.365616461
2021-02-22,00:00:00,1.21151,1.21693,1.20911,1.21551,136092.545671679
2021-02-23,00:00:00,1.21551,1.21801,1.21353,1.21493,123596.545570241
2021-02-24,00:00:00,1.21493,1.21745,1.21092,1.21664,160048.550791346
2021-02-25,00:00:00,1.2163,1.22433,1.21559,1.2174,232552.360950954
2021-02-26,00:00:00,1.21718,1.21841,1.20621,1.20704,311728.344180763
2021-03-01,00:00:00,1.20702,1.21011,1.20276,1.20488,158262.375322901
2021-03-02,00:00:00,1.20488,1.20943,1.19916,1.20898,163214.715285756
2021-03-03,00:00:00,1.20893,1.21132,1.20427,1.20627,181858.794227619
2021-03-04,00:00:00,1.20627,1.20666,1.19615,1.19692,214543.120358624
2021-03-05,00:00:00,1.19679,1.19777,1.18932,1.19128,247010.160125643
2021-03-08,00:00:00,1.19177,1.19321,1.18442,1.1846,188943.647584142
2021-03-09,00:00:00,1.1846,1.19156,1.18355,1.19001,167830.410360575
2021-03-10,00:00:00,1.19001,1.19296,1.18688,1.19284,154286.421027595
2021-03-11,00:00:00,1.19283,1.19899,1.19156,1.19844,153676.797284208
